N,P,K,temperature,humidity,ph,rainfall,crop
174.8353753783076,61.86403471801077,129.29092407815804,29.246887584281186,90.70836688393491,7.0905379913170385,194.1938260929255,Sugarcane
60.701294403491985,51.284154313884216,59.24518842075066,22.889526564937782,72.16612689580427,6.098204408442636,110.79789688125639,Groundnut
45.43099770006142,66.8465155340231,52.06044256315964,25.65406473387551,50.45906352054131,6.652177343413435,101.84763772616036,Soybean
140.18318358591483,44.11519062044523,38.3204532669737,23.011851168818275,75.09624745998967,5.896857178770229,189.128737468686,Rice
148.16411820754197,71.97775796960875,123.39389517182023,22.928505490092913,64.00452307581094,6.170098391800615,166.86054318952534,Cauliflower
149.62336274945295,72.77772837049957,114.38942455057264,16.929642491744755,74.11300196001785,5.924275545479229,116.99805660091158,Potato
123.22064738309226,68.00139927088748,107.07347858430064,25.493984337126836,69.11799983056243,5.950110164663284,154.32034094109156,Brinjal
86.13808049364005,46.65729939147087,58.652535394430075,29.627006240461043,85.57739552774169,6.485412529864508,179.53625052597172,Rice
83.93365801652979,52.20639012197144,54.428046337792765,17.414559808784325,74.29775451653953,7.074265891204816,79.52782204174395,Onion
100.3139540815425,70.6581726636762,48.85224056994203,19.37253417860491,54.283701812829364,6.771410641669629,112.33832870579616,Onion
177.4940837270018,77.54166233963197,133.60661611783613,29.787848975805897,70.71840795637173,6.853752353421895,177.80275372748577,Sugarcane
53.22773110848379,50.46383557200965,58.06703772921361,14.716073162115077,78.01514386922099,6.716841255234488,55.812645051633254,Peas
128.63400704848718,55.39138063032782,91.68261129785095,24.281347510455106,54.45341624400265,6.469743987978101,141.8634572383729,Chili
148.41655010028788,77.61767825629234,125.56490805626687,31.09638237664938,62.16376005701837,6.839685755338651,169.021250274662,Sugarcane
33.238567247230606,47.71178952470644,38.660495286463,22.222617001284156,51.3214734273761,6.375984770982722,55.5082141310695,Pulses
112.23631863221743,69.75895541850078,103.09079007137889,27.222055319285538,57.05695368783628,6.506494541274413,114.45287666628039,Brinjal
57.22586755269518,61.75718982528503,28.403501847268124,22.360697897069887,56.57685904797211,7.234776058640614,122.55891811825836,Pulses
112.66945736657634,84.09896072034687,67.7429101527311,17.39924580080663,58.262721562676184,7.2175278438226025,66.69198171280198,Onion
